theta,n00,n11,n01,n10,E
0.000000,43,34,13,10,0.540000
0.000000,22,26,22,30,-0.040000
0.000000,16,29,33,22,-0.100000
0.000000,37,42,10,11,0.580000
0.628319,39,29,13,19,0.360000
0.628319,24,19,30,27,-0.140000
0.628319,37,34,13,16,0.420000
0.628319,42,31,13,14,0.460000
1.256637,26,31,20,23,0.140000
1.256637,6,14,38,42,-0.600000
1.256637,36,42,12,10,0.560000
1.256637,34,32,20,14,0.320000
1.884956,15,19,32,34,-0.320000
1.884956,13,19,40,28,-0.360000
1.884956,37,41,13,9,0.560000
1.884956,22,26,32,20,-0.040000
2.513274,8,8,42,42,-0.680000
2.513274,13,14,40,33,-0.460000
2.513274,28,37,20,15,0.300000
2.513274,14,14,35,37,-0.440000
3.141593,14,13,29,44,-0.460000
3.141593,28,29,25,18,0.140000
3.141593,23,31,23,23,0.080000
3.141593,10,12,38,40,-0.560000
3.769911,9,9,40,42,-0.640000
3.769911,40,27,20,13,0.340000
3.769911,12,10,32,46,-0.560000
3.769911,12,15,34,39,-0.460000
4.398230,23,20,27,30,-0.140000
4.398230,43,33,5,19,0.520000
4.398230,8,14,42,36,-0.560000
4.398230,24,17,30,29,-0.180000
5.026548,32,35,16,17,0.340000
5.026548,45,29,14,12,0.480000
5.026548,17,9,42,32,-0.480000
5.026548,17,34,33,16,0.020000
5.654867,26,47,16,11,0.460000
5.654867,31,38,18,13,0.380000
5.654867,16,12,35,37,-0.440000
5.654867,38,40,14,8,0.560000
6.283185,34,42,15,9,0.520000
6.283185,23,21,22,34,-0.120000
6.283185,29,31,23,17,0.200000
6.283185,52,33,9,6,0.700000
